15
203 127 186
47 19 344 19
11 14 466 14
80 20 509 20
163 327 519 327
276 18 347 18
6 265 156 265
188 81 216 81
296 252 436 252
420 111 445 111
115 143 400 143
116 27 221 27
273 59 420 59
208 141 464 141
16 324 55 324
283 388 316 388
29 46 85 46
134 255 368 255
275 103 452 103
112 266 550 266
60 14 294 14
157 123 374 123
24 80 140 80
376 100 468 100
319 181 509 181
60 75 499 75
824 705 674
143 35 461 35
613 102 640 102
370 19 408 19
274 68 623 68
462 562 510 562
403 56 613 56
230 135 369 135
253 126 440 126
134 8 433 8
573 335 781 335
273 198 743 198
47 468 305 468
78 290 192 290
292 131 311 131
382 519 627 519
115 50 553 50
19 207 101 207
425 55 646 55
367 144 398 144
564 271 811 271
155 192 272 192
47 8 777 8
185 453 374 453
77 266 771 266
146 174 780 174
343 542 730 542
54 415 358 415
106 507 167 507
70 303 630 303
748 308 792 308
135 410 457 410
48 295 170 295
214 111 671 111
98 644 496 644
52 313 631 313
266 431 595 431
215 227 297 227
681 189 749 189
183 503 648 503
309 11 457 11
98 453 710 453
148 171 689 171
260 45 569 45
305 258 733 258
124 10 303 10
84 27 151 27
212 83 515 83
296 501 493 501
221 218 605 218
395 107 436 107
727 143 749 143
430 398 666 398
418 404 448 404
18 28 111 28
110 265 815 265
629 139 752 139
276 235 291 235
557 169 773 169
110 29 573 29
351 187 668 187
373 302 521 302
475 505 575 505
231 103 739 103
166 6 349 6
564 313 751 313
553 201 819 201
121 22 224 22
268 189 788 189
159 60 334 60
250 60 635 60
491 244 680 244
703 58 722 58
46 209 564 209
48 560 309 560
4 301 344 301
10 208 64 208
522 376 565 376
37 142 761 142
142 27 301 27
505 273 531 273
24 5 786 5
414 374 764 374
283 476 754 476
648 11 649 11
245 70 727 70
414 358 650 358
267 530 619 530
160 226 758 226
291 23 546 23
172 38 543 38
215 423 529 423
295 92 427 92
330 66 785 66
311 299 541 299
161 68 323 68
215 301 636 301
444 8 535 8
327 106 386 106
289 122 688 122
388 237 739 237
263 240 333 240
369 4 441 4
629 153 818 153
27 111 598 111
304 252 567 252
604 185 770 185
664 46 668 46
168 461 618 461
222 519 437 519
218 360 427 360
451 194 729 194
12 461 293 461
183 167 205 167
39 617 555 617
35 196 272 196
75 123 243 123
174 326 666 326
272 439 704 439
50 0 542 0
419 99 597 99
86 114 743 114
685 24 815 24
663 288 706 288
77 18 240 18
142 352 196 352
69 136 254 136
395 585 502 585
125 497 566 497
329 570 509 570
388 121 475 121
113 338 747 338
349 588 436 588
190 133 293 133
90 109 249 109
456 362 813 362
298 253 458 253
164 613 198 613
122 146 640 146
197 0 387 0
66 428 604 428
35 99 436 99
105 56 740 56
178 369 334 369
248 120 476 120
337 85 820 85
394 463 801 463
317 272 364 272
218 318 440 318
248 57 368 57
4 511 145 511
187 364 608 364
128 0 176 0
88 450 331 450
266 213 469 213
100 131 775 131
231 93 347 93
368 337 472 337
32 121 682 121
147 250 486 250
59 143 443 143
348 287 644 287
29 69 283 69
139 513 684 513
19 268 190 268
146 618 748 618
117 8 119 8
482 384 607 384
29 348 542 348
91 404 721 404
365 415 571 415
679 124 770 124
50 296 408 296
673 119 693 119
328 78 630 78
235 277 386 277
491 286 821 286
70 115 697 115
91 226 354 226
155 389 438 389
443 193 644 193
394 16 541 16
261 63 441 63
244 445 489 445
370 213 459 213
585 434 816 434
416 62 524 62
101 296 462 296
12 22 524 22
32 457 445 457
418 279 509 279
517 246 642 246
92 121 279 121
156 510 669 510
208 184 264 184
251 23 560 23
86 197 86 197
61 41 734 41
388 287 592 287
46 152 602 152
435 232 530 232
689 56 695 56
83 52 357 52
325 291 496 291
707 267 762 267
253 41 530 41
87 227 624 227
64 401 787 401
458 534 820 534
4 315 17 315
29 121 816 121
76 141 286 141
374 4 617 4
419 415 656 415
648 501 727 501
106 146 508 146
70 128 754 128
366 37 454 37
62 114 69 114
54 543 145 543
117 191 613 191
24 562 404 562
364 29 760 29
57 353 643 353
164 16 785 16
16 290 105 290
115 554 271 554
165 323 206 323
8 106 395 106
468 524 780 524
87 331 249 331
765 263 808 263
287 117 659 117
368 340 750 340
601 39 643 39
328 74 665 74
264 293 389 293
357 340 474 340
152 300 521 300
507 212 717 212
625 400 797 400
373 31 613 31
418 228 764 228
258 34 535 34
213 568 289 568
628 421 785 421
133 189 541 189
552 400 567 400
34 382 639 382
147 94 427 94
248 623 472 623
369 36 676 36
159 204 244 204
639 34 785 34
295 191 581 191
161 64 590 64
444 570 734 570
270 285 679 285
455 397 649 397
101 118 805 118
70 161 265 161
471 283 673 283
399 39 752 39
497 360 796 360
5 144 803 144
597 133 788 133
144 324 599 324
24 230 569 230
19 419 391 419
414 367 668 367
294 375 732 375
586 295 626 295
126 72 451 72
462 96 560 96
545 412 677 412
45 169 404 169
84 448 341 448
724 104 823 104
95 581 120 581
56 243 733 243
135 384 367 384
50 421 139 421
301 220 415 220
505 479 535 479
278 319 345 319
486 358 695 358
611 545 687 545
137 272 164 272
86 369 467 369
242 263 638 263
333 216 772 216
37 29 576 29
235 237 644 237
348 143 522 143
544 18 695 18
169 131 737 131
174 49 594 49
289 474 432 474
80 88 132 88
159 482 678 482
294 8 622 8
385 330 764 330
315 142 381 142
217 348 724 348
22 366 139 366
4 61 442 61
268 267 737 267
620 221 786 221
75 228 114 228
146 408 388 408
147 65 326 65
341 229 686 229
770 199 784 199
140 373 518 373
84 61 519 61
165 32 346 32
766 290 771 290
59 608 646 608
224 59 651 59
402 43 766 43
298 322 650 322
738 23 776 23
99 267 169 267
350 79 584 79
113 50 241 50
262 150 597 150
74 83 180 83
351 212 594 212
146 172 412 172
304 39 610 39
364 145 708 145
471 418 620 418
642 179 797 179
175 350 534 350
171 183 232 183
9 12 586 12
47 356 449 356
355 95 764 95
218 594 613 594
61 253 332 253
484 30 663 30
18 49 604 49
365 39 409 39
442 10 512 10
12 369 820 369
1 367 695 367
91 578 625 578
144 250 324 250
186 246 431 246
217 268 391 268
308 237 406 237
347 331 426 331
336 173 694 173
400 637 526 637
337 164 767 164
378 206 717 206
471 139 572 139
100 256 382 256
111 4 657 4
249 244 427 244
422 527 723 527
186 101 540 101
220 325 351 325
78 210 792 210
46 143 344 143
335 120 437 120
167 249 224 249
468 104 575 104
630 527 706 527
338 320 556 320
203 88 555 88
106 130 178 130
148 157 621 157
575 283 742 283
341 596 374 596
393 582 401 582
339 524 632 524
583 76 738 76
208 231 356 231
224 9 675 9
518 44 625 44
194 88 228 88
560 491 686 491
79 205 768 205
13 41 176 41
291 96 437 96
286 274 329 274
220 343 640 343
572 551 644 551
173 237 517 237
338 91 690 91
423 373 565 373
403 103 776 103
285 473 499 473
12 68 270 68
461 27 512 27
242 461 294 461
369 182 542 182
86 376 228 376
303 434 514 434
177 128 750 128
294 141 331 141
426 485 728 485
186 95 414 95
254 414 555 414
466 155 631 155
370 170 727 170
566 451 812 451
522 181 668 181
239 396 525 396
92 269 674 269
116 621 367 621
209 12 569 12
412 486 453 486
58 455 444 455
603 452 637 452
371 42 725 42
268 342 555 342
248 471 793 471
103 91 318 91
49 187 754 187
203 489 341 489
74 566 295 566
587 332 633 332
569 159 631 159
44 0 784 0
54 64 746 64
516 68 736 68
5 9 77 9
71 169 144 169
432 78 787 78
157 207 738 207
79 437 370 437
0 143 300 143
24 218 203 218
120 215 595 215
86 387 509 387
163 231 766 231
279 650 330 650
48 406 610 406
134 51 769 51
683 288 732 288
32 60 789 60
658 93 714 93
444 52 572 52
342 456 640 456
497 530 571 530
87 333 133 333
64 262 354 262
98 363 656 363
515 52 746 52
366 48 733 48
201 148 221 148
172 235 603 235
0 288 599 288
146 463 252 463
323 234 516 234
185 109 328 109
159 488 408 488
119 285 351 285
14 240 650 240
472 44 502 44
646 174 782 174
612 182 646 182
430 68 692 68
606 114 817 114
200 366 507 366
327 256 341 256
163 341 567 341
206 215 716 215
172 132 742 132
220 419 697 419
192 189 749 189
80 133 659 133
195 178 627 178
79 24 822 24
352 44 405 44
371 168 541 168
52 109 281 109
461 310 531 310
525 240 760 240
517 97 670 97
369 168 450 168
226 5 569 5
353 310 785 310
431 673 488 673
422 185 622 185
83 122 686 122
69 84 654 84
515 258 601 258
190 140 554 140
211 240 280 240
391 413 450 413
505 446 695 446
318 91 602 91
460 102 463 102
460 130 767 130
7 489 816 489
641 98 654 98
22 506 378 506
627 97 646 97
375 294 670 294
400 64 703 64
129 312 611 312
238 624 435 624
482 14 622 14
144 608 150 608
293 74 395 74
507 76 585 76
359 25 635 25
96 123 682 123
578 447 815 447
277 49 632 49
45 61 462 61
288 479 433 479
117 381 751 381
100 14 431 14
61 95 349 95
672 273 698 273
484 29 821 29
236 147 306 147
345 277 596 277
511 211 533 211
481 34 541 34
568 357 823 357
147 94 649 94
412 392 624 392
646 307 699 307
165 394 262 394
25 24 380 24
183 148 545 148
481 95 816 95
0 132 261 132
389 117 540 117
12 22 145 22
83 27 108 27
169 266 458 266
121 522 643 522
335 353 792 353
477 222 560 222
472 522 735 522
446 308 749 308
98 255 386 255
470 21 567 21
376 512 551 512
146 49 630 49
124 320 546 320
133 345 255 345
9 71 751 71
74 399 441 399
437 316 786 316
106 96 188 96
286 210 481 210
629 42 781 42
138 63 665 63
433 449 619 449
599 285 735 285
171 58 455 58
692 345 787 345
161 156 555 156
56 6 444 6
148 275 218 275
4 307 557 307
527 72 790 72
36 2 456 2
6 336 424 336
112 96 512 96
96 247 389 247
691 292 728 292
474 229 597 229
50 272 105 272
623 497 709 497
170 47 719 47
343 206 382 206
103 74 378 74
541 466 704 466
269 149 666 149
534 152 810 152
397 643 641 643
637 233 763 233
600 431 735 431
396 99 617 99
151 455 820 455
248 414 464 414
162 325 785 325
45 326 65 326
78 180 334 180
716 31 755 31
136 227 602 227
292 579 612 579
10 104 90 104
474 12 508 12
117 141 817 141
89 48 457 48
65 80 161 80
218 179 270 179
154 269 392 269
154 281 745 281
446 63 620 63
516 513 623 513
208 321 262 321
808 27 816 27
93 83 815 83
206 92 240 92
769 443 810 443
106 87 425 87
606 283 622 283
178 218 253 218
107 160 267 160
196 183 476 183
5 346 677 346
248 14 693 14
35 141 306 141
491 228 748 228
116 101 751 101
328 168 436 168
683 286 697 286
22 144 816 144
313 484 385 484
378 298 581 298
362 293 705 293
293 408 752 408
351 127 767 127
139 158 468 158
58 72 298 72
93 73 148 73
380 350 609 350
23 38 199 38
200 13 794 13
142 119 320 119
73 18 415 18
9 209 566 209
250 485 312 485
38 420 639 420
531 10 587 10
508 244 556 244
5 162 123 162
12 2 784 2
96 547 604 547
286 218 578 218
413 192 488 192
260 487 568 487
122 477 221 477
242 404 421 404
222 6 239 6
360 264 703 264
273 208 527 208
80 357 703 357
388 483 762 483
55 177 503 177
519 206 654 206
46 457 223 457
583 236 720 236
133 493 299 493
181 355 614 355
324 87 405 87
468 11 493 11
150 117 812 117
53 228 433 228
232 374 318 374
33 308 542 308
30 25 180 25
60 293 123 293
313 183 461 183
88 316 685 316
138 135 219 135
12 113 790 113
20 140 622 140
219 28 585 28
43 359 398 359
368 43 451 43
544 131 735 131
670 192 786 192
281 373 687 373
378 285 460 285
793 811 277
270 55 476 55
312 141 779 141
461 111 705 111
81 320 315 320
60 92 708 92
768 43 774 43
185 338 647 338
318 134 547 134
347 51 477 51
163 273 764 273
208 145 616 145
137 38 165 38
32 98 786 98
38 125 125 125
456 351 517 351
442 369 688 369
579 94 630 94
124 175 243 175
29 711 648 711
188 553 422 553
46 248 159 248
469 208 775 208
344 276 597 276
543 21 737 21
121 50 193 50
197 337 475 337
100 258 701 258
47 197 473 197
181 20 789 20
126 344 599 344
423 204 663 204
5 39 147 39
101 67 518 67
288 663 636 663
234 8 771 8
121 416 530 416
203 145 549 145
467 430 608 430
164 462 757 462
582 263 608 263
170 648 495 648
233 236 753 236
190 702 240 702
113 616 458 616
547 579 666 579
674 106 684 106
359 577 601 577
337 255 618 255
12 662 460 662
33 166 117 166
152 636 172 636
158 375 722 375
147 19 480 19
275 1 410 1
505 13 689 13
128 695 514 695
90 147 491 147
348 189 504 189
172 341 176 341
321 28 704 28
242 424 375 424
101 203 604 203
515 171 762 171
368 232 690 232
586 187 767 187
206 207 365 207
490 81 647 81
76 44 187 44
49 551 464 551
554 299 566 299
179 606 627 606
218 265 527 265
122 175 192 175
157 251 714 251
188 549 305 549
22 399 705 399
146 671 260 671
438 387 617 387
324 500 555 500
6 203 564 203
460 319 789 319
167 502 524 502
0 3 423 3
511 551 735 551
0 318 299 318
16 240 131 240
401 526 713 526
56 390 671 390
29 531 140 531
106 210 707 210
134 378 556 378
588 80 673 80
305 112 628 112
194 138 236 138
86 547 332 547
86 5 772 5
662 438 789 438
87 173 316 173
248 518 581 518
79 387 312 387
176 498 562 498
263 542 571 542
14 365 563 365
11 116 665 116
220 327 652 327
572 223 619 223
157 535 173 535
169 225 787 225
297 318 586 318
367 233 699 233
220 184 233 184
128 462 484 462
451 86 753 86
559 366 732 366
364 555 688 555
60 685 398 685
464 593 476 593
60 568 222 568
422 45 700 45
26 567 372 567
26 514 72 514
79 169 758 169
544 51 562 51
71 188 189 188
257 574 462 574
347 15 576 15
320 330 600 330
294 65 514 65
34 648 288 648
430 175 654 175
22 224 370 224
86 158 219 158
185 176 573 176
175 284 664 284
386 282 653 282
52 115 209 115
87 124 170 124
10 10 76 10
310 272 356 272
30 359 466 359
186 110 743 110
295 198 378 198
66 384 653 384
207 232 529 232
511 243 571 243
245 49 748 49
113 76 386 76
362 237 665 237
310 210 440 210
117 625 662 625
99 262 305 262
540 309 597 309
16 39 232 39
72 54 782 54
249 127 458 127
156 468 522 468
366 13 730 13
543 308 672 308
332 1 480 1
513 416 698 416
186 340 488 340
143 712 584 712
140 157 721 157
489 203 653 203
104 123 715 123
236 647 498 647
704 3 782 3
415 148 613 148
381 209 590 209
269 96 337 96
424 421 647 421
513 37 778 37
738 142 774 142
240 537 785 537
126 454 629 454
334 167 364 167
450 395 748 395
423 453 547 453
462 83 474 83
548 481 626 481
32 79 620 79
145 145 297 145
238 294 727 294
192 358 374 358
557 159 768 159
637 255 700 255
470 9 779 9
118 246 554 246
238 488 452 488
182 56 368 56
384 473 389 473
298 89 419 89
125 181 433 181
255 268 598 268
235 584 404 584
328 63 551 63
160 126 509 126
18 346 169 346
345 5 520 5
198 257 368 257
91 47 118 47
278 195 528 195
310 339 513 339
78 95 619 95
279 310 489 310
208 95 518 95
46 548 124 548
165 27 757 27
118 319 403 319
211 136 789 136
406 104 779 104
283 167 376 167
313 153 596 153
396 70 491 70
149 714 463 714
65 360 487 360
39 185 600 185
747 93 785 93
93 143 344 143
549 439 589 439
358 283 676 283
634 396 676 396
721 373 736 373
180 483 347 483
177 165 531 165
130 203 259 203
75 19 535 19
186 152 602 152
228 535 444 535
348 392 594 392
144 60 275 60
176 14 650 14
438 148 679 148
169 101 750 101
1 483 80 483
36 6 775 6
335 565 768 565
170 20 322 20
167 74 315 74
111 371 407 371
65 119 142 119
483 160 627 160
441 620 598 620
38 384 324 384
269 257 634 257
77 85 632 85
92 245 95 245
37 319 204 319
340 18 558 18
230 62 453 62
104 125 598 125
221 298 304 298
313 626 728 626
141 146 407 146
163 406 445 406
213 259 303 259
208 486 373 486
130 3 676 3
326 70 485 70
149 130 664 130
249 193 616 193
619 233 628 233
191 164 733 164
133 194 140 194
218 95 347 95
320 155 713 155
16 172 585 172
5 62 267 62
629 211 648 211
321 260 446 260
418 594 767 594
342 203 464 203
131 425 269 425
239 368 607 368
302 46 490 46
568 101 788 101
55 482 289 482
590 454 958
228 77 436 77
319 141 340 141
41 82 589 82
251 339 374 339
90 284 111 284
145 103 463 103
77 268 107 268
77 69 131 69
176 24 406 24
331 340 415 340
441 149 540 149
38 10 335 10
26 40 399 40
38 238 414 238
342 242 397 242
367 76 487 76
441 145 520 145
245 106 366 106
376 360 443 360
100 22 173 22
142 35 376 35
299 237 569 237
179 153 346 153
37 181 429 181
472 245 517 245
323 165 511 165
475 81 566 81
253 230 500 230
113 120 476 120
362 185 585 185
364 295 486 295
28 79 145 79
259 286 370 286
346 336 399 336
310 347 525 347
217 6 394 6
274 84 472 84
17 308 268 308
99 141 342 141
204 275 238 275
48 23 144 23
233 157 398 157
131 319 461 319
134 196 211 196
383 226 546 226
288 309 511 309
168 135 313 135
112 79 283 79
311 69 478 69
156 96 182 96
169 243 367 243
50 258 441 258
276 351 398 351
243 109 259 109
49 43 115 43
262 239 331 239
283 312 540 312
181 93 516 93
50 223 114 223
130 138 422 138
7 428 401 428
428 7 460 7
30 39 473 39
235 137 325 137
372 412 381 412
167 322 515 322
0 119 57 119
248 198 568 198
12 112 184 112
219 44 251 44
175 275 514 275
492 93 524 93
361 53 583 53
138 13 277 13
54 316 463 316
81 214 336 214
15 91 319 91
80 129 565 129
270 361 296 361
5 41 320 41
7 290 174 290
80 38 440 38
60 239 517 239
451 50 572 50
223 145 266 145
342 108 372 108
256 84 399 84
75 219 471 219
283 93 547 93
113 225 472 225
160 29 462 29
171 99 489 99
126 414 277 414
165 248 260 248
23 391 61 391
128 147 204 147
244 5 341 5
31 247 166 247
335 8 399 8
14 200 497 200
53 41 474 41
294 84 502 84
336 142 552 142
81 147 492 147
64 187 589 187
215 104 531 104
249 182 448 182
43 6 286 6
190 150 559 150
281 85 559 85
30 172 423 172
420 8 533 8
347 211 483 211
116 348 255 348
559 46 564 46
193 297 358 297
80 21 139 21
123 269 476 269
196 23 330 23
269 10 467 10
1 380 111 380
314 77 446 77
82 11 293 11
324 126 401 126
299 110 575 110
230 317 493 317
239 196 424 196
194 56 252 56
66 111 245 111
444 136 574 136
48 20 296 20
431 16 498 16
285 247 302 247
427 354 532 354
322 242 486 242
44 30 238 30
243 364 338 364
38 24 512 24
129 410 586 410
96 15 367 15
136 242 376 242
110 294 338 294
276 307 293 307
118 226 367 226
244 63 263 63
308 6 399 6
128 44 270 44
233 225 420 225
212 302 459 302
184 15 450 15
419 415 522 415
67 25 233 25
312 140 336 140
125 47 243 47
74 15 416 15
399 60 571 60
335 280 588 280
302 53 528 53
240 127 408 127
86 144 502 144
82 127 318 127
370 369 517 369
228 113 430 113
304 83 443 83
361 272 506 272
283 261 575 261
67 115 529 115
205 416 522 416
100 1 225 1
144 88 150 88
65 297 325 297
21 202 56 202
203 77 435 77
214 88 542 88
89 198 468 198
183 9 333 9
114 74 237 74
286 93 536 93
32 141 572 141
252 211 305 211
474 126 507 126
225 85 536 85
35 235 440 235
271 114 452 114
159 87 480 87
427 102 499 102
59 141 203 141
16 44 420 44
187 12 313 12
173 179 264 179
413 350 420 350
81 387 374 387
263 68 589 68
94 210 214 210
43 325 118 325
237 99 580 99
495 140 498 140
334 419 530 419
530 151 554 151
237 306 505 306
133 111 257 111
37 227 535 227
292 374 297 374
244 5 349 5
18 100 205 100
471 209 509 209
87 239 282 239
430 288 588 288
39 291 140 291
218 271 564 271
90 16 577 16
369 156 450 156
15 64 352 64
374 24 552 24
398 181 585 181
173 105 185 105
174 135 320 135
156 380 420 380
134 29 458 29
440 130 499 130
142 28 533 28
114 65 127 65
198 140 577 140
189 336 585 336
45 165 151 165
385 105 573 105
40 104 348 104
276 152 587 152
55 250 467 250
212 116 362 116
192 1 223 1
53 171 431 171
44 74 278 74
5 232 571 232
240 117 389 117
59 202 148 202
419 103 543 103
138 3 576 3
73 40 429 40
142 204 453 204
26 145 400 145
178 220 227 220
297 195 580 195
358 298 408 298
2 161 9 161
35 141 82 141
404 68 540 68
44 197 510 197
418 68 501 68
106 303 321 303
138 116 483 116
259 31 463 31
192 110 525 110
122 184 552 184
164 400 210 400
104 83 287 83
243 8 401 8
154 320 566 320
286 75 444 75
414 103 461 103
199 126 412 126
20 90 393 90
394 119 482 119
328 142 420 142
12 144 17 144
454 133 581 133
106 37 349 37
68 31 284 31
27 145 337 145
400 43 509 43
474 119 527 119
189 165 289 165
0 85 492 85
38 179 444 179
81 181 481 181
18 302 381 302
95 256 338 256
514 336 572 336
235 159 563 159
218 344 430 344
220 92 285 92
223 88 576 88
299 290 554 290
18 84 318 84
7 23 204 23
36 100 573 100
350 234 517 234
176 36 297 36
18 230 254 230
193 333 430 333
124 41 580 41
35 64 42 64
217 60 486 60
64 11 554 11
281 10 541 10
381 0 485 0
508 113 525 113
21 75 159 75
407 133 501 133
17 55 19 55
321 314 559 314
255 100 558 100
269 26 290 26
526 197 581 197
448 56 456 56
84 87 298 87
213 329 480 329
68 18 71 18
119 323 333 323
129 210 193 210
66 87 177 87
136 244 570 244
272 204 339 204
307 120 408 120
6 273 350 273
125 205 383 205
122 26 577 26
298 147 578 147
179 391 202 391
176 9 463 9
119 182 218 182
155 140 277 140
189 162 484 162
109 43 139 43
9 95 400 95
45 182 295 182
115 318 586 318
44 21 584 21
244 2 258 2
370 102 576 102
213 76 317 76
21 103 542 103
373 64 393 64
76 254 114 254
297 329 573 329
186 75 436 75
35 49 269 49
28 18 144 18
213 164 379 164
206 126 457 126
171 413 190 413
107 259 168 259
363 202 584 202
279 165 289 165
262 94 421 94
456 110 579 110
413 63 422 63
52 52 488 52
8 197 169 197
22 145 163 145
114 4 296 4
126 135 443 135
474 51 523 51
182 65 486 65
122 28 407 28
11 94 211 94
111 375 356 375
331 223 518 223
50 105 220 105
134 3 370 3
372 375 433 375
31 198 111 198
118 251 376 251
310 22 552 22
217 95 369 95
87 119 491 119
209 162 314 162
439 58 488 58
169 126 430 126
168 13 538 13
318 71 553 71
73 68 365 68
89 307 582 307
338 279 499 279
235 160 353 160
42 187 489 187
54 49 146 49
313 77 444 77
390 238 455 238
202 40 286 40
497 229 517 229
302 232 489 232
462 119 572 119
438 22 481 22
149 12 344 12
138 92 474 92
270 63 504 63
87 7 355 7
324 77 587 77
274 26 525 26
64 275 345 275
218 6 284 6
237 25 359 25
49 122 361 122
32 403 47 403
63 170 182 170
200 102 393 102
246 360 318 360
274 170 389 170
129 321 510 321
506 129 522 129
49 51 207 51
77 76 122 76
43 114 322 114
175 310 465 310
267 41 528 41
303 342 385 342
116 117 327 117
53 17 574 17
358 127 396 127
24 347 169 347
180 12 318 12
401 217 509 217
206 201 430 201
307 211 497 211
10 146 474 146
24 399 126 399
528 359 568 359
13 122 274 122
317 261 552 261
81 107 357 107
78 325 391 325
15 263 342 263
65 291 481 291
70 72 368 72
420 158 439 158
350 254 390 254
178 140 370 140
302 201 559 201
232 350 276 350
335 26 392 26
36 340 123 340
320 33 399 33
31 230 207 230
14 371 355 371
114 28 324 28
175 124 374 124
262 3 431 3
211 3 529 3
476 217 516 217
52 127 86 127
65 229 545 229
363 59 587 59
129 323 316 323
256 292 488 292
180 197 283 197
274 149 563 149
182 54 390 54
217 24 445 24
180 146 463 146
508 117 533 117
6 69 578 69
416 74 482 74
201 248 233 248
248 264 350 264
45 32 353 32
65 190 247 190
136 238 275 238
484 183 540 183
426 43 583 43
304 31 394 31
488 47 503 47
124 258 513 258
235 17 521 17
137 3 458 3
482 57 580 57
7 312 493 312
7 27 497 27
236 67 583 67
311 10 348 10
262 263 484 263
445 99 493 99
110 89 551 89
407 279 436 279
106 162 443 162
294 138 559 138
90 54 293 54
323 182 566 182
86 122 491 122
191 143 468 143
30 235 526 235
55 320 441 320
308 250 419 250
398 14 542 14
275 371 473 371
99 154 342 154
1 81 469 81
430 223 541 223
102 269 148 269
19 71 363 71
24 80 93 80
56 20 359 20
333 87 346 87
86 92 583 92
181 64 341 64
358 242 402 242
201 252 285 252
56 15 67 15
168 169 276 169
532 418 561 418
87 80 390 80
74 170 162 170
96 63 252 63
250 89 580 89
134 272 547 272
113 111 537 111
210 280 529 280
337 60 461 60
94 137 282 137
146 321 377 321
273 263 425 263
182 402 190 402
172 274 194 274
472 182 527 182
31 172 357 172
309 285 367 285
37 44 372 44
81 99 480 99
55 269 321 269
351 14 394 14
170 13 549 13
176 53 228 53
294 23 524 23
37 92 416 92
34 100 138 100
12 251 120 251
124 8 368 8
49 20 76 20
7 232 308 232
549 86 562 86
451 112 494 112
382 321 390 321
130 161 332 161
8 260 64 260
161 283 360 283
39 83 137 83
72 130 363 130
194 46 380 46
230 124 470 124
212 343 454 343
210 13 260 13
238 309 408 309
55 4 460 4
95 176 194 176
273 367 554 367
2 137 557 137
350 138 457 138
266 18 561 18
405 77 517 77
436 133 499 133
306 137 425 137
299 39 435 39
165 78 304 78
76 228 452 228
432 108 510 108
184 52 239 52
122 291 569 291
351 362 362 362
101 50 254 50
373 160 463 160
203 231 318 231
138 58 583 58
211 195 399 195
105 244 394 244
36 295 323 295
155 55 577 55
163 438 538 438
143 106 513 106
42 28 336 28
313 399 576 399
70 1 238 1
44 103 57 103
13 289 82 289
118 160 179 160
333 224 509 224
33 10 123 10
213 50 497 50
303 379 323 379
213 399 512 399
18 233 416 233
268 279 579 279
275 65 295 65
270 18 566 18
300 143 500 143
92 123 572 123
341 271 544 271
358 176 560 176
337 66 353 66
263 324 571 324
117 187 211 187
22 315 224 315
368 243 407 243
195 226 447 226
289 171 317 171
17 221 116 221
343 409 519 409
25 38 263 38
132 80 480 80
9 195 19 195
336 402 371 402
248 62 503 62
46 154 503 154
39 38 164 38
283 96 407 96
107 26 486 26
84 46 305 46
233 174 531 174
235 137 467 137
114 45 247 45
109 121 235 121
79 3 244 3
435 115 451 115
16 32 481 32
87 118 326 118
164 41 457 41
321 194 543 194
240 107 515 107
216 116 282 116
430 175 437 175
118 100 382 100
389 163 478 163
124 150 451 150
136 19 574 19
75 177 557 177
127 70 445 70
49 39 293 39
196 10 408 10
102 280 561 280
5 183 22 183
72 58 327 58
325 70 453 70
237 48 370 48
362 310 435 310
484 136 495 136
180 231 450 231
167 21 557 21
273 145 546 145
128 126 463 126
328 302 375 302
67 357 462 357
502 114 519 114
76 138 263 138
11 27 514 27
136 161 386 161
195 57 557 57
283 244 493 244
330 204 438 204
345 279 539 279
213 59 430 59
79 15 225 15
78 24 216 24
214 127 277 127
266 203 478 203
207 157 267 157
92 50 272 50
61 357 454 357
42 93 366 93
124 71 126 71
481 44 541 44
62 37 475 37
234 197 399 197
150 97 533 97
206 42 487 42
283 277 391 277
568 185 572 185
436 175 534 175
97 198 184 198
0 58 148 58
107 88 477 88
7 127 388 127
59 223 279 223
488 36 542 36
149 327 234 327
50 220 155 220
357 302 589 302
13 25 184 25
288 319 293 319
109 235 285 235
16 182 30 182
205 352 522 352
102 43 489 43
368 205 429 205
169 52 509 52
174 176 207 176
445 39 548 39
90 75 110 75
172 354 484 354
108 64 217 64
415 54 514 54
313 83 484 83
105 15 579 15
340 84 491 84
170 14 285 14
151 241 335 241
529 177 573 177
517 31 549 31
297 190 423 190
129 46 375 46
80 147 157 147
39 266 183 266
148 11 376 11
145 281 367 281
382 227 485 227
346 116 564 116
164 377 248 377
61 189 318 189
52 391 66 391
93 97 236 97
91 314 379 314
82 418 443 418
460 124 507 124
282 228 412 228
272 80 514 80
371 195 469 195
167 219 474 219
319 29 463 29
179 282 548 282
158 180 409 180
462 88 492 88
162 195 367 195
130 31 187 31
178 281 532 281
60 221 285 221
167 252 321 252
409 244 533 244
64 153 332 153
128 151 394 151
143 252 562 252
56 79 406 79
371 75 541 75
111 280 464 280
49 86 57 86
228 130 588 130
35 90 98 90
189 152 375 152
51 217 139 217
160 77 463 77
425 178 495 178
427 60 469 60
97 244 122 244
395 29 525 29
381 122 573 122
37 279 514 279
167 168 326 168
375 80 390 80
269 3 401 3
115 226 319 226
460 215 518 215
480 257 550 257
167 200 408 200
283 344 430 344
35 106 431 106
20 27 275 27
303 140 518 140
103 295 488 295
286 240 402 240
9 37 409 37
242 274 281 274
436 141 508 141
532 188 536 188
114 21 374 21
430 69 572 69
220 117 467 117
226 244 482 244
407 45 440 45
118 2 276 2
370 120 497 120
402 26 508 26
70 332 572 332
20 272 362 272
