Case 1
   Query 527: 528
   Query 528: 420
   Query 529: 336
   Query 530: 360
   Query 531: 198
   Query 532: 336
   Query 533: 18
   Query 534: 792
   Query 535: 816
   Query 536: 336
   Query 537: 168
   Query 538: 432
   Query 539: 768
   Query 540: 792
   Query 541: 615
   Query 542: 720
   Query 543: 792
   Query 544: 792
   Query 545: 24
   Query 546: 48
   Query 547: 144
   Query 548: 888
   Query 549: 57
   Query 550: 156
   Query 551: 768
   Query 552: 312
   Query 553: 672
   Query 554: 456
   Query 555: 336
   Query 556: 732
   Query 557: 888
   Query 558: 792
   Query 559: 0
   Query 560: 360
   Query 561: 294
   Query 562: 96
   Query 563: 792
   Query 564: 48
   Query 565: 840
   Query 566: 504
   Query 567: 816
   Query 568: 576
   Query 569: 48
   Query 570: 624
   Query 571: 48
   Query 572: 640
   Query 573: 336
   Query 574: 48
   Query 575: 108
   Query 576: 528
   Query 577: 768
   Query 578: 504
   Query 579: 628
   Query 580: 504
   Query 581: 108
   Query 582: 264
   Query 583: 528
   Query 584: 732
   Query 585: 136
   Query 586: 840
   Query 587: 48
   Query 588: 336
   Query 589: 504
   Query 590: 336
   Query 591: 222
   Query 592: 792
   Query 593: 120
   Query 594: 720
   Query 595: 240
   Query 596: 732
   Query 597: 588
   Query 598: 639
   Query 599: 672
   Query 600: 792
   Query 601: 168
   Query 602: 858
   Query 603: 792
   Query 604: 732
   Query 605: 780
   Query 606: 480
   Query 607: 222
   Query 608: 672
   Query 609: 336
   Query 610: 792
   Query 611: 64
   Query 612: 840
   Query 613: 336
   Query 614: 846
   Query 615: 792
   Query 616: 888
   Query 617: 792
   Query 618: 48
   Query 619: 480
   Query 620: 648
   Query 621: 744
   Query 622: 504
   Query 623: 504
   Query 624: 504
   Query 625: 816
   Query 626: 552
   Query 627: 48
   Query 628: 696
   Query 629: 612
   Query 630: 792
   Query 631: 168
   Query 632: 552
   Query 633: 72
   Query 634: 564
   Query 635: 594
   Query 636: 720
   Query 637: 624
   Query 638: 84
   Query 639: 792
   Query 640: 36
   Query 641: 792
   Query 642: 504
   Query 643: 792
   Query 644: 108
   Query 645: 600
   Query 646: 336
   Query 647: 336
   Query 648: 732
   Query 649: 192
   Query 650: 48
   Query 651: 336
   Query 652: 408
   Query 653: 792
   Query 654: 222
   Query 655: 336
   Query 656: 792
   Query 657: 792
   Query 658: 336
   Query 659: 528
   Query 660: 345
   Query 661: 0
   Query 662: 96
   Query 663: 120
   Query 664: 336
   Query 665: 384
   Query 666: 276
   Query 667: 792
   Query 668: 48
   Query 669: 48
   Query 670: 0
   Query 671: 24
   Query 672: 618
   Query 673: 13
   Query 674: 504
   Query 675: 570
   Query 676: 735
   Query 677: 48
   Query 678: 792
   Query 679: 336
   Query 680: 288
   Query 681: 276
Case 4
   Query 1: 855
   Query 2: 171
   Query 3: 57
   Query 4: 456
   Query 5: 798
   Query 6: 399
   Query 7: 729
   Query 8: 57
   Query 9: 285
   Query 10: 114
   Query 11: 855
   Query 12: 171
   Query 13: 342
   Query 14: 169
   Query 15: 285
   Query 16: 57
   Query 17: 513
   Query 18: 456
   Query 19: 0
   Query 20: 57
   Query 21: 729
   Query 22: 171
   Query 23: 747
   Query 24: 57
   Query 25: 304
   Query 26: 399
   Query 27: 57
   Query 28: 513
   Query 29: 171
   Query 30: 513
   Query 31: 90
   Query 32: 681
   Query 33: 285
   Query 34: 285
   Query 35: 0
   Query 36: 798
   Query 37: 258
   Query 38: 57
   Query 39: 570
   Query 40: 708
   Query 41: 0
   Query 42: 855
   Query 43: 342
   Query 44: 57
   Query 45: 513
   Query 46: 57
   Query 47: 798
   Query 48: 153
   Query 49: 789
   Query 50: 798
   Query 51: 114
   Query 52: 855
   Query 53: 171
   Query 54: 798
   Query 55: 684
   Query 56: 513
   Query 57: 285
   Query 58: 399
   Query 59: 240
   Query 60: 0
   Query 61: 456
   Query 62: 0
Case 5
   Query 1: 798
   Query 2: 114
   Query 3: 114
   Query 4: 798
   Query 5: 594
   Query 6: 828
   Query 7: 765
   Query 8: 627
   Query 9: 798
   Query 10: 513
   Query 11: 765
   Query 12: 156
   Query 13: 114
   Query 14: 456
   Query 15: 315
   Query 16: 570
   Query 17: 102
   Query 18: 222
   Query 19: 468
   Query 20: 741
   Query 21: 456
   Query 22: 399
   Query 23: 660
   Query 24: 816
   Query 25: 375
   Query 26: 219
   Query 27: 15
   Query 28: 570
   Query 29: 57
   Query 30: 390
   Query 31: 372
   Query 32: 810
   Query 33: 627
   Query 34: 513
   Query 35: 57
   Query 36: 57
   Query 37: 627
   Query 38: 744
   Query 39: 741
   Query 40: 642
   Query 41: 285
   Query 42: 399
   Query 43: 228
   Query 44: 258
   Query 45: 456
   Query 46: 102
   Query 47: 627
   Query 48: 114
   Query 49: 741
   Query 50: 789
   Query 51: 678
   Query 52: 531
   Query 53: 666
   Query 54: 456
   Query 55: 240
   Query 56: 120
   Query 57: 171
   Query 58: 651
   Query 59: 570
   Query 60: 342
   Query 61: 750
   Query 62: 627
   Query 63: 99
   Query 64: 342
   Query 65: 237
   Query 66: 384
   Query 67: 342
   Query 68: 900
   Query 69: 570
   Query 70: 570
   Query 71: 684
   Query 72: 741
   Query 73: 333
   Query 74: 324
   Query 75: 783
   Query 76: 198
   Query 77: 570
   Query 78: 441
   Query 79: 798
   Query 80: 798
   Query 81: 855
   Query 82: 627
   Query 83: 549
   Query 84: 114
   Query 85: 171
   Query 86: 228
   Query 87: 456
   Query 88: 45
   Query 89: 798
   Query 90: 228
   Query 91: 342
   Query 92: 645
   Query 93: 381
   Query 94: 0
   Query 95: 798
   Query 96: 570
   Query 97: 651
   Query 98: 306
   Query 99: 741
   Query 100: 300
   Query 101: 627
   Query 102: 450
   Query 103: 393
   Query 104: 396
   Query 105: 228
   Query 106: 318
   Query 107: 114
   Query 108: 285
   Query 109: 792
   Query 110: 456
   Query 111: 636
   Query 112: 585
   Query 113: 114
   Query 114: 423
   Query 115: 294
   Query 116: 192
   Query 117: 57
   Query 118: 627
   Query 119: 228
   Query 120: 597
   Query 121: 513
   Query 122: 42
   Query 123: 798
   Query 124: 492
   Query 125: 513
   Query 126: 732
   Query 127: 309
   Query 128: 285
   Query 129: 285
   Query 130: 39
   Query 131: 456
   Query 132: 837
   Query 133: 570
   Query 134: 864
   Query 135: 111
   Query 136: 66
   Query 137: 570
   Query 138: 513
   Query 139: 570
   Query 140: 816
   Query 141: 9
   Query 142: 285
   Query 143: 228
   Query 144: 627
   Query 145: 570
   Query 146: 387
   Query 147: 354
   Query 148: 228
   Query 149: 456
   Query 150: 330
   Query 151: 570
   Query 152: 798
   Query 153: 828
   Query 154: 627
   Query 155: 903
   Query 156: 0
   Query 157: 774
   Query 158: 657
   Query 159: 627
   Query 160: 801
   Query 161: 0
   Query 162: 426
   Query 163: 855
   Query 164: 150
   Query 165: 429
   Query 166: 798
   Query 167: 228
   Query 168: 627
   Query 169: 24
   Query 170: 228
   Query 171: 276
   Query 172: 555
   Query 173: 114
   Query 174: 456
   Query 175: 492
   Query 176: 399
   Query 177: 249
   Query 178: 99
   Query 179: 180
   Query 180: 564
   Query 181: 171
   Query 182: 30
   Query 183: 684
   Query 184: 18
   Query 185: 264
   Query 186: 864
   Query 187: 171
   Query 188: 57
   Query 189: 651
   Query 190: 846
   Query 191: 114
   Query 192: 102
   Query 193: 741
   Query 194: 456
   Query 195: 456
   Query 196: 114
   Query 197: 273
   Query 198: 804
   Query 199: 528
   Query 200: 648
   Query 201: 570
   Query 202: 870
   Query 203: 798
   Query 204: 813
   Query 205: 57
   Query 206: 213
   Query 207: 120
   Query 208: 543
   Query 209: 614
   Query 210: 870
   Query 211: 48
   Query 212: 798
   Query 213: 795
   Query 214: 642
   Query 215: 399
   Query 216: 201
   Query 217: 426
   Query 218: 306
   Query 219: 708
   Query 220: 513
   Query 221: 870
   Query 222: 57
   Query 223: 57
   Query 224: 171
   Query 225: 270
   Query 226: 285
   Query 227: 513
   Query 228: 408
   Query 229: 717
   Query 230: 513
   Query 231: 666
   Query 232: 285
   Query 233: 375
   Query 234: 114
   Query 235: 0
   Query 236: 564
   Query 237: 342
   Query 238: 855
   Query 239: 684
   Query 240: 522
   Query 241: 228
   Query 242: 780
   Query 243: 342
   Query 244: 57
   Query 245: 402
   Query 246: 0
   Query 247: 342
   Query 248: 57
   Query 249: 417
   Query 250: 0
   Query 251: 114
   Query 252: 114
   Query 253: 675
   Query 254: 855
   Query 255: 456
   Query 256: 93
   Query 257: 114
   Query 258: 315
   Query 259: 366
   Query 260: 180
   Query 261: 456
   Query 262: 513
   Query 263: 399
   Query 264: 135
   Query 265: 183
   Query 266: 57
   Query 267: 789
   Query 268: 363
   Query 269: 627
   Query 270: 855
   Query 271: 798
   Query 272: 81
   Query 273: 861
   Query 274: 399
   Query 275: 33
   Query 276: 828
   Query 277: 399
   Query 278: 90
   Query 279: 333
   Query 280: 456
   Query 281: 261
   Query 282: 18
   Query 283: 114
   Query 284: 798
   Query 285: 627
   Query 286: 798
   Query 287: 114
   Query 288: 183
   Query 289: 684
   Query 290: 636
   Query 291: 798
   Query 292: 741
   Query 293: 513
   Query 294: 741
   Query 295: 603
   Query 296: 684
   Query 297: 12
   Query 298: 66
   Query 299: 741
   Query 300: 0
   Query 301: 711
   Query 302: 393
   Query 303: 57
   Query 304: 228
   Query 305: 558
   Query 306: 654
   Query 307: 618
   Query 308: 594
   Query 309: 684
   Query 310: 798
   Query 311: 684
   Query 312: 354
   Query 313: 114
   Query 314: 420
   Query 315: 114
   Query 316: 162
   Query 317: 291
   Query 318: 456
   Query 319: 873
   Query 320: 114
   Query 321: 228
   Query 322: 570
   Query 323: 0
   Query 324: 0
   Query 325: 570
   Query 326: 144
   Query 327: 228
   Query 328: 87
   Query 329: 456
   Query 330: 180
   Query 331: 627
   Query 332: 843
   Query 333: 0
   Query 334: 798
   Query 335: 228
   Query 336: 855
   Query 337: 597
   Query 338: 342
   Query 339: 323
   Query 340: 285
   Query 341: 0
   Query 342: 522
   Query 343: 309
   Query 344: 156
   Query 345: 836
   Query 346: 147
   Query 347: 627
   Query 348: 435
   Query 349: 891
   Query 350: 882
   Query 351: 114
   Query 352: 171
   Query 353: 744
   Query 354: 879
   Query 355: 828
   Query 356: 513
   Query 357: 867
   Query 358: 684
   Query 359: 435
   Query 360: 735
   Query 361: 114
   Query 362: 228
   Query 363: 765
   Query 364: 168
   Query 365: 309
   Query 366: 114
   Query 367: 285
   Query 368: 342
   Query 369: 684
   Query 370: 342
   Query 371: 228
   Query 372: 57
   Query 373: 837
   Query 374: 690
   Query 375: 114
   Query 376: 399
   Query 377: 399
   Query 378: 627
   Query 379: 456
   Query 380: 741
   Query 381: 114
   Query 382: 114
   Query 383: 429
   Query 384: 456
   Query 385: 189
   Query 386: 456
   Query 387: 570
   Query 388: 798
   Query 389: 627
   Query 390: 285
   Query 391: 228
   Query 392: 612
   Query 393: 228
   Query 394: 570
   Query 395: 309
   Query 396: 114
   Query 397: 291
   Query 398: 753
   Query 399: 342
   Query 400: 807
   Query 401: 0
   Query 402: 531
   Query 403: 396
   Query 404: 342
   Query 405: 684
   Query 406: 144
   Query 407: 822
   Query 408: 855
   Query 409: 0
   Query 410: 513
   Query 411: 858
   Query 412: 342
   Query 413: 786
   Query 414: 444
   Query 415: 114
   Query 416: 570
   Query 417: 114
   Query 418: 645
   Query 419: 798
   Query 420: 75
   Query 421: 228
   Query 422: 690
   Query 423: 114
   Query 424: 285
   Query 425: 228
   Query 426: 423
   Query 427: 114
   Query 428: 24
   Query 429: 180
   Query 430: 903
   Query 431: 669
   Query 432: 804
   Query 433: 342
   Query 434: 54
   Query 435: 741
   Query 436: 15
   Query 437: 669
   Query 438: 57
   Query 439: 72
   Query 440: 441
   Query 441: 366
   Query 442: 636
   Query 443: 399
   Query 444: 846
   Query 445: 627
   Query 446: 684
   Query 447: 114
   Query 448: 579
   Query 449: 183
   Query 450: 798
   Query 451: 513
   Query 452: 114
   Query 453: 741
   Query 454: 513
   Query 455: 570
   Query 456: 114
   Query 457: 0
   Query 458: 324
   Query 459: 171
   Query 460: 333
   Query 461: 114
   Query 462: 888
   Query 463: 684
   Query 464: 321
   Query 465: 684
   Query 466: 456
   Query 467: 114
   Query 468: 570
   Query 469: 285
   Query 470: 123
   Query 471: 741
   Query 472: 117
   Query 473: 543
   Query 474: 285
   Query 475: 714
   Query 476: 426
   Query 477: 459
   Query 478: 886
   Query 479: 228
   Query 480: 750
   Query 481: 342
   Query 482: 294
   Query 483: 342
   Query 484: 171
   Query 485: 570
   Query 486: 324
   Query 487: 729
   Query 488: 828
   Query 489: 0
   Query 490: 57
   Query 491: 627
   Query 492: 522
   Query 493: 171
   Query 494: 0
   Query 495: 354
   Query 496: 276
   Query 497: 720
   Query 498: 114
   Query 499: 252
   Query 500: 114
   Query 501: 180
   Query 502: 318
   Query 503: 513
   Query 504: 336
   Query 505: 570
   Query 506: 570
   Query 507: 552
   Query 508: 285
   Query 509: 228
   Query 510: 777
   Query 511: 822
   Query 512: 0
   Query 513: 213
   Query 514: 252
   Query 515: 456
   Query 516: 114
   Query 517: 462
   Query 518: 342
   Query 519: 111
   Query 520: 684
   Query 521: 684
   Query 522: 114
   Query 523: 285
   Query 524: 285
   Query 525: 684
   Query 526: 57
   Query 527: 114
   Query 528: 570
   Query 529: 228
   Query 530: 741
   Query 531: 255
   Query 532: 342
   Query 533: 609
   Query 534: 0
   Query 535: 558
   Query 536: 171
   Query 537: 855
   Query 538: 627
   Query 539: 228
   Query 540: 195
   Query 541: 351
   Query 542: 99
   Query 543: 798
   Query 544: 831
   Query 545: 684
   Query 546: 285
   Query 547: 513
   Query 548: 675
   Query 549: 615
   Query 550: 627
   Query 551: 0
   Query 552: 627
   Query 553: 555
   Query 554: 114
   Query 555: 723
   Query 556: 558
   Query 557: 765
   Query 558: 114
   Query 559: 570
   Query 560: 90
   Query 561: 570
   Query 562: 57
   Query 563: 894
   Query 564: 204
   Query 565: 135
   Query 566: 285
   Query 567: 291
   Query 568: 537
   Query 569: 228
   Query 570: 642
   Query 571: 114
   Query 572: 684
   Query 573: 114
   Query 574: 798
   Query 575: 627
   Query 576: 513
   Query 577: 205
   Query 578: 762
   Query 579: 666
   Query 580: 114
   Query 581: 264
   Query 582: 57
   Query 583: 228
   Query 584: 456
   Query 585: 798
   Query 586: 435
   Query 587: 285
   Query 588: 741
   Query 589: 114
   Query 590: 492
   Query 591: 741
   Query 592: 477
   Query 593: 24
   Query 594: 258
   Query 595: 456
   Query 596: 435
   Query 597: 360
   Query 598: 660
   Query 599: 684
   Query 600: 114
   Query 601: 570
   Query 602: 174
   Query 603: 114
   Query 604: 798
   Query 605: 417
   Query 606: 798
   Query 607: 114
   Query 608: 798
   Query 609: 627
   Query 610: 627
   Query 611: 684
   Query 612: 666
   Query 613: 444
   Query 614: 609
   Query 615: 621
   Query 616: 114
   Query 617: 36
   Query 618: 546
   Query 619: 180
   Query 620: 636
   Query 621: 741
   Query 622: 789
   Query 623: 399
   Query 624: 744
   Query 625: 306
   Query 626: 456
   Query 627: 798
   Query 628: 399
   Query 629: 0
   Query 630: 114
   Query 631: 201
   Query 632: 228
   Query 633: 408
   Query 634: 855
   Query 635: 228
   Query 636: 318
   Query 637: 627
   Query 638: 15
   Query 639: 513
   Query 640: 762
   Query 641: 741
   Query 642: 570
   Query 643: 132
   Query 644: 114
   Query 645: 228
   Query 646: 627
   Query 647: 456
   Query 648: 147
   Query 649: 205
   Query 650: 228
   Query 651: 441
   Query 652: 570
   Query 653: 684
   Query 654: 570
   Query 655: 738
   Query 656: 684
   Query 657: 384
   Query 658: 3
   Query 659: 228
   Query 660: 201
   Query 661: 228
   Query 662: 474
   Query 663: 345
   Query 664: 589
   Query 665: 342
   Query 666: 222
   Query 667: 504
   Query 668: 798
   Query 669: 627
   Query 670: 522
   Query 671: 660
   Query 672: 735
   Query 673: 399
   Query 674: 762
Case 6
   Query 1: 0
   Query 2: 160
   Query 3: 152
   Query 4: 608
   Query 5: 456
   Query 6: 608
   Query 7: 152
   Query 8: 608
   Query 9: 0
   Query 10: 176
   Query 11: 152
   Query 12: 152
   Query 13: 803
   Query 14: 608
   Query 15: 152
   Query 16: 416
   Query 17: 608
   Query 18: 608
   Query 19: 608
   Query 20: 608
   Query 21: 496
   Query 22: 532
   Query 23: 494
   Query 24: 780
   Query 25: 880
   Query 26: 608
   Query 27: 836
   Query 28: 32
   Query 29: 210
   Query 30: 608
   Query 31: 608
   Query 32: 494
   Query 33: 453
   Query 34: 608
   Query 35: 113
   Query 36: 152
   Query 37: 152
   Query 38: 656
   Query 39: 304
   Query 40: 323
   Query 41: 152
   Query 42: 760
   Query 43: 608
   Query 44: 608
   Query 45: 608
   Query 46: 608
   Query 47: 608
   Query 48: 152
   Query 49: 76
   Query 50: 760
   Query 51: 608
   Query 52: 608
   Query 53: 76
   Query 54: 174
   Query 55: 0
   Query 56: 152
   Query 57: 608
   Query 58: 608
   Query 59: 608
   Query 60: 684
   Query 61: 608
   Query 62: 152
   Query 63: 152
   Query 64: 344
   Query 65: 608
   Query 66: 608
   Query 67: 684
   Query 68: 304
   Query 69: 200
   Query 70: 608
   Query 71: 152
   Query 72: 608
   Query 73: 608
   Query 74: 152
   Query 75: 836
   Query 76: 608
   Query 77: 380
   Query 78: 272
   Query 79: 608
   Query 80: 304
   Query 81: 304
   Query 82: 608
   Query 83: 656
   Query 84: 0
   Query 85: 304
   Query 86: 608
   Query 87: 152
   Query 88: 848
   Query 89: 836
   Query 90: 152
   Query 91: 608
   Query 92: 304
   Query 93: 152
   Query 94: 608
   Query 95: 95
   Query 96: 747
   Query 97: 112
   Query 98: 608
   Query 99: 152
   Query 100: 224
   Query 101: 608
   Query 102: 380
   Query 103: 688
   Query 104: 760
   Query 105: 152
   Query 106: 608
   Query 107: 608
   Query 108: 361
   Query 109: 608
   Query 110: 824
   Query 111: 608
   Query 112: 608
   Query 113: 152
   Query 114: 512
   Query 115: 224
   Query 116: 152
   Query 117: 608
   Query 118: 304
   Query 119: 760
   Query 120: 760
   Query 121: 664
   Query 122: 152
   Query 123: 608
   Query 124: 608
   Query 125: 152
   Query 126: 380
   Query 127: 608
   Query 128: 803
   Query 129: 304
   Query 130: 632
   Query 131: 380
   Query 132: 608
   Query 133: 152
   Query 134: 152
   Query 135: 380
   Query 136: 608
   Query 137: 608
   Query 138: 228
   Query 139: 608
   Query 140: 304
   Query 141: 152
   Query 142: 608
   Query 143: 320
   Query 144: 209
   Query 145: 152
   Query 146: 488
   Query 147: 608
   Query 148: 440
   Query 149: 608
   Query 150: 152
   Query 151: 836
   Query 152: 608
   Query 153: 760
   Query 154: 152
   Query 155: 608
   Query 156: 152
   Query 157: 0
   Query 158: 608
   Query 159: 888
   Query 160: 152
   Query 161: 608
   Query 162: 608
   Query 163: 608
   Query 164: 152
   Query 165: 152
   Query 166: 608
   Query 167: 874
   Query 168: 608
   Query 169: 152
   Query 170: 152
   Query 171: 704
   Query 172: 874
   Query 173: 532
   Query 174: 844
   Query 175: 608
   Query 176: 608
   Query 177: 304
   Query 178: 608
   Query 179: 176
   Query 180: 608
   Query 181: 616
   Query 182: 608
   Query 183: 431
   Query 184: 608
   Query 185: 508
   Query 186: 608
   Query 187: 656
   Query 188: 152
   Query 189: 608
   Query 190: 0
   Query 191: 608
   Query 192: 608
   Query 193: 608
   Query 194: 836
   Query 195: 836
   Query 196: 760
   Query 197: 608
   Query 198: 304
   Query 199: 744
   Query 200: 728
   Query 201: 400
   Query 202: 95
   Query 203: 836
   Query 204: 152
   Query 205: 152
   Query 206: 836
   Query 207: 836
   Query 208: 760
   Query 209: 608
   Query 210: 613
   Query 211: 902
   Query 212: 608
   Query 213: 836
   Query 214: 608
   Query 215: 608
   Query 216: 608
   Query 217: 760
   Query 218: 228
   Query 219: 608
   Query 220: 608
   Query 221: 152
   Query 222: 608
   Query 223: 608
   Query 224: 608
   Query 225: 551
   Query 226: 152
   Query 227: 0
   Query 228: 152
   Query 229: 836
   Query 230: 764
   Query 231: 384
   Query 232: 608
   Query 233: 152
   Query 234: 152
   Query 235: 836
   Query 236: 475
   Query 237: 304
   Query 238: 456
   Query 239: 304
   Query 240: 80
   Query 241: 608
   Query 242: 152
   Query 243: 608
   Query 244: 608
   Query 245: 608
   Query 246: 296
   Query 247: 608
   Query 248: 608
   Query 249: 152
   Query 250: 752
   Query 251: 152
   Query 252: 836
   Query 253: 608
   Query 254: 608
   Query 255: 272
   Query 256: 266
   Query 257: 608
   Query 258: 730
   Query 259: 608
   Query 260: 608
   Query 261: 152
   Query 262: 152
   Query 263: 152
   Query 264: 380
   Query 265: 608
   Query 266: 152
   Query 267: 760
   Query 268: 288
   Query 269: 152
   Query 270: 494
   Query 271: 320
   Query 272: 608
   Query 273: 212
   Query 274: 656
   Query 275: 0
   Query 276: 319
   Query 277: 608
Case 7
   Query 1: 528
   Query 2: 752
   Query 3: 828
   Query 4: 416
   Query 5: 752
   Query 6: 528
   Query 7: 564
   Query 8: 576
   Query 9: 240
   Query 10: 452
   Query 11: 792
   Query 12: 408
   Query 13: 216
   Query 14: 528
   Query 15: 144
   Query 16: 144
   Query 17: 714
   Query 18: 144
   Query 19: 144
   Query 20: 96
   Query 21: 432
   Query 22: 528
   Query 23: 336
   Query 24: 72
   Query 25: 192
   Query 26: 144
   Query 27: 144
   Query 28: 528
   Query 29: 528
   Query 30: 528
   Query 31: 528
   Query 32: 672
   Query 33: 144
   Query 34: 528
   Query 35: 528
   Query 36: 480
   Query 37: 240
   Query 38: 168
   Query 39: 224
   Query 40: 600
   Query 41: 792
   Query 42: 144
   Query 43: 528
   Query 44: 336
   Query 45: 528
   Query 46: 528
   Query 47: 528
   Query 48: 528
   Query 49: 0
   Query 50: 144
   Query 51: 144
   Query 52: 114
   Query 53: 528
   Query 54: 752
   Query 55: 216
   Query 56: 144
   Query 57: 72
   Query 58: 528
   Query 59: 192
   Query 60: 528
   Query 61: 180
   Query 62: 336
   Query 63: 792
   Query 64: 144
   Query 65: 816
   Query 66: 870
   Query 67: 144
   Query 68: 528
   Query 69: 372
   Query 70: 384
   Query 71: 186
   Query 72: 448
   Query 73: 144
   Query 74: 768
   Query 75: 72
   Query 76: 528
   Query 77: 528
   Query 78: 120
   Query 79: 144
   Query 80: 216
   Query 81: 300
   Query 82: 240
   Query 83: 0
   Query 84: 720
   Query 85: 258
   Query 86: 448
   Query 87: 384
   Query 88: 336
   Query 89: 752
   Query 90: 528
   Query 91: 720
   Query 92: 224
   Query 93: 336
   Query 94: 144
   Query 95: 816
   Query 96: 588
   Query 97: 16
   Query 98: 528
   Query 99: 272
   Query 100: 720
   Query 101: 792
   Query 102: 688
   Query 103: 40
   Query 104: 832
   Query 105: 456
   Query 106: 528
   Query 107: 448
   Query 108: 600
   Query 109: 552
   Query 110: 640
   Query 111: 72
   Query 112: 600
   Query 113: 192
   Query 114: 144
   Query 115: 0
   Query 116: 144
   Query 117: 384
   Query 118: 528
   Query 119: 576
   Query 120: 12
   Query 121: 300
   Query 122: 720
   Query 123: 192
   Query 124: 144
   Query 125: 864
   Query 126: 528
   Query 127: 600
   Query 128: 144
   Query 129: 528
   Query 130: 168
   Query 131: 576
   Query 132: 384
   Query 133: 144
   Query 134: 600
   Query 135: 528
   Query 136: 216
   Query 137: 384
   Query 138: 768
   Query 139: 288
   Query 140: 768
   Query 141: 144
   Query 142: 144
   Query 143: 144
   Query 144: 864
   Query 145: 192
   Query 146: 448
   Query 147: 896
   Query 148: 144
   Query 149: 528
   Query 150: 672
   Query 151: 696
   Query 152: 636
   Query 153: 448
   Query 154: 288
   Query 155: 648
   Query 156: 168
   Query 157: 528
   Query 158: 360
   Query 159: 144
   Query 160: 224
   Query 161: 528
   Query 162: 528
   Query 163: 720
   Query 164: 720
   Query 165: 528
   Query 166: 72
   Query 167: 148
   Query 168: 300
   Query 169: 336
   Query 170: 144
   Query 171: 600
   Query 172: 144
   Query 173: 240
   Query 174: 384
   Query 175: 528
   Query 176: 784
   Query 177: 480
   Query 178: 144
   Query 179: 96
   Query 180: 144
   Query 181: 144
   Query 182: 288
   Query 183: 528
   Query 184: 144
   Query 185: 576
   Query 186: 144
   Query 187: 360
   Query 188: 744
   Query 189: 96
   Query 190: 594
   Query 191: 144
   Query 192: 768
   Query 193: 324
   Query 194: 528
   Query 195: 144
   Query 196: 714
   Query 197: 448
   Query 198: 780
   Query 199: 816
   Query 200: 528
   Query 201: 528
   Query 202: 0
   Query 203: 144
   Query 204: 144
   Query 205: 600
   Query 206: 144
   Query 207: 144
   Query 208: 384
   Query 209: 876
   Query 210: 72
   Query 211: 264
   Query 212: 144
   Query 213: 264
   Query 214: 24
   Query 215: 186
   Query 216: 144
   Query 217: 528
   Query 218: 96
   Query 219: 480
   Query 220: 144
   Query 221: 680
   Query 222: 432
   Query 223: 504
   Query 224: 528
   Query 225: 600
   Query 226: 144
   Query 227: 528
   Query 228: 528
   Query 229: 864
   Query 230: 720
   Query 231: 144
   Query 232: 72
   Query 233: 576
   Query 234: 0
   Query 235: 144
   Query 236: 144
   Query 237: 144
   Query 238: 87
   Query 239: 648
   Query 240: 528
   Query 241: 72
   Query 242: 144
   Query 243: 528
   Query 244: 336
   Query 245: 30
   Query 246: 600
   Query 247: 0
   Query 248: 528
   Query 249: 168
   Query 250: 144
   Query 251: 528
   Query 252: 288
   Query 253: 528
   Query 254: 456
   Query 255: 816
   Query 256: 96
   Query 257: 144
   Query 258: 72
   Query 259: 720
   Query 260: 144
   Query 261: 480
   Query 262: 576
   Query 263: 144
   Query 264: 144
   Query 265: 30
   Query 266: 852
   Query 267: 384
   Query 268: 608
   Query 269: 680
   Query 270: 96
   Query 271: 448
   Query 272: 480
   Query 273: 528
   Query 274: 528
   Query 275: 528
   Query 276: 392
   Query 277: 336
   Query 278: 144
   Query 279: 72
   Query 280: 528
   Query 281: 528
   Query 282: 288
   Query 283: 528
   Query 284: 528
   Query 285: 144
   Query 286: 224
   Query 287: 528
   Query 288: 240
   Query 289: 528
   Query 290: 528
   Query 291: 204
   Query 292: 741
   Query 293: 384
   Query 294: 856
   Query 295: 216
   Query 296: 600
   Query 297: 752
   Query 298: 0
   Query 299: 144
   Query 300: 528
   Query 301: 756
   Query 302: 144
   Query 303: 600
   Query 304: 752
   Query 305: 432
   Query 306: 528
   Query 307: 528
   Query 308: 486
   Query 309: 144
   Query 310: 480
   Query 311: 336
   Query 312: 528
   Query 313: 752
   Query 314: 144
   Query 315: 300
   Query 316: 480
   Query 317: 900
   Query 318: 642
   Query 319: 192
   Query 320: 144
   Query 321: 528
   Query 322: 528
   Query 323: 24
   Query 324: 672
   Query 325: 528
   Query 326: 72
   Query 327: 528
   Query 328: 159
   Query 329: 144
   Query 330: 144
   Query 331: 864
   Query 332: 528
   Query 333: 216
   Query 334: 576
   Query 335: 528
   Query 336: 384
   Query 337: 516
   Query 338: 600
   Query 339: 144
   Query 340: 480
   Query 341: 288
   Query 342: 828
   Query 343: 528
   Query 344: 144
   Query 345: 144
   Query 346: 864
   Query 347: 96
   Query 348: 120
   Query 349: 72
   Query 350: 600
   Query 351: 180
   Query 352: 528
   Query 353: 210
   Query 354: 0
   Query 355: 240
   Query 356: 144
   Query 357: 576
   Query 358: 528
   Query 359: 864
   Query 360: 144
   Query 361: 0
   Query 362: 144
   Query 363: 144
   Query 364: 72
   Query 365: 528
   Query 366: 528
   Query 367: 600
   Query 368: 768
   Query 369: 528
   Query 370: 792
   Query 371: 528
   Query 372: 414
   Query 373: 452
   Query 374: 224
   Query 375: 144
   Query 376: 72
   Query 377: 72
   Query 378: 720
   Query 379: 528
   Query 380: 144
   Query 381: 144
   Query 382: 672
   Query 383: 864
   Query 384: 624
